Instance,Algorithm,Elapsed_Time,Best_Objective
MDG-a_16_n500_m50.txt,GRASP,1.366389,7726.43
MDG-a_16_n500_m50.txt,GRASP,52.412688,7728.14
MDG-a_16_n500_m50.txt,GRASP,68.705234,7748.58
MDG-a_16_n500_m50.txt,GRASP+TS,0.004342,6220.9
MDG-a_16_n500_m50.txt,GRASP+TS,0.092643,6327.02
MDG-a_16_n500_m50.txt,GRASP+TS,0.157714,6419.12
MDG-a_16_n500_m50.txt,GRASP+TS,0.223111,6498.08
MDG-a_16_n500_m50.txt,GRASP+TS,0.288235,6579.48
MDG-a_16_n500_m50.txt,GRASP+TS,0.353685,6652.86
MDG-a_16_n500_m50.txt,GRASP+TS,0.42,6714.49
MDG-a_16_n500_m50.txt,GRASP+TS,0.485958,6771.97
MDG-a_16_n500_m50.txt,GRASP+TS,0.552322,6829.23
MDG-a_16_n500_m50.txt,GRASP+TS,0.620252,6879.01
MDG-a_16_n500_m50.txt,GRASP+TS,0.686742,6926.97
MDG-a_16_n500_m50.txt,GRASP+TS,0.753641,6968.6
MDG-a_16_n500_m50.txt,GRASP+TS,0.820935,7009.44
MDG-a_16_n500_m50.txt,GRASP+TS,0.887638,7045.62
MDG-a_16_n500_m50.txt,GRASP+TS,0.954715,7079.3
MDG-a_16_n500_m50.txt,GRASP+TS,1.023907,7109.39
MDG-a_16_n500_m50.txt,GRASP+TS,1.091929,7132.53
MDG-a_16_n500_m50.txt,GRASP+TS,1.159846,7161.49
MDG-a_16_n500_m50.txt,GRASP+TS,1.227311,7193.46
MDG-a_16_n500_m50.txt,GRASP+TS,1.294454,7221.95
MDG-a_16_n500_m50.txt,GRASP+TS,1.362016,7250.03
MDG-a_16_n500_m50.txt,GRASP+TS,1.429562,7276.75
MDG-a_16_n500_m50.txt,GRASP+TS,1.496412,7301.05
MDG-a_16_n500_m50.txt,GRASP+TS,1.563975,7325.86
MDG-a_16_n500_m50.txt,GRASP+TS,1.631591,7352.93
MDG-a_16_n500_m50.txt,GRASP+TS,1.701742,7375.23
MDG-a_16_n500_m50.txt,GRASP+TS,1.769999,7398.84
MDG-a_16_n500_m50.txt,GRASP+TS,1.837923,7418.34
MDG-a_16_n500_m50.txt,GRASP+TS,1.905752,7434.86
MDG-a_16_n500_m50.txt,GRASP+TS,1.974375,7443.64
MDG-a_16_n500_m50.txt,GRASP+TS,2.043216,7456.52
MDG-a_16_n500_m50.txt,GRASP+TS,2.110587,7462.45
MDG-a_16_n500_m50.txt,GRASP+TS,2.178064,7468.67
MDG-a_16_n500_m50.txt,GRASP+TS,2.245821,7471.16
MDG-a_16_n500_m50.txt,GRASP+TS,2.314145,7474.74
MDG-a_16_n500_m50.txt,GRASP+TS,2.382211,7481.08
MDG-a_16_n500_m50.txt,GRASP+TS,2.450544,7488.64
MDG-a_16_n500_m50.txt,GRASP+TS,2.518354,7494.04
MDG-a_16_n500_m50.txt,GRASP+TS,2.586881,7497.12
MDG-a_16_n500_m50.txt,GRASP+TS,2.654449,7501.66
MDG-a_16_n500_m50.txt,GRASP+TS,2.722374,7512.7
MDG-a_16_n500_m50.txt,GRASP+TS,2.790486,7518.07
MDG-a_16_n500_m50.txt,GRASP+TS,2.858664,7534.29
MDG-a_16_n500_m50.txt,GRASP+TS,2.926855,7545.1
MDG-a_16_n500_m50.txt,GRASP+TS,2.994998,7564.49
MDG-a_16_n500_m50.txt,GRASP+TS,3.063343,7580.76
MDG-a_16_n500_m50.txt,GRASP+TS,3.131277,7598.74
MDG-a_16_n500_m50.txt,GRASP+TS,3.199311,7600.56
MDG-a_16_n500_m50.txt,GRASP+TS,3.267803,7602.07
MDG-a_16_n500_m50.txt,GRASP+TS,3.336182,7613.48
MDG-a_16_n500_m50.txt,GRASP+TS,3.405189,7621.01
MDG-a_16_n500_m50.txt,GRASP+TS,3.473628,7627.07
MDG-a_16_n500_m50.txt,GRASP+TS,3.542376,7633.43
MDG-a_16_n500_m50.txt,GRASP+TS,3.610048,7638.75
MDG-a_16_n500_m50.txt,GRASP+TS,3.678124,7646.82
MDG-a_16_n500_m50.txt,GRASP+TS,3.746459,7650.05
MDG-a_16_n500_m50.txt,GRASP+TS,3.815009,7654.31
MDG-a_16_n500_m50.txt,GRASP+TS,4.158384,7662.82
MDG-a_16_n500_m50.txt,GRASP+TS,4.227417,7668.82
MDG-a_16_n500_m50.txt,GRASP+TS,4.295333,7673.07
MDG-a_16_n500_m50.txt,GRASP+TS,4.363181,7674.0
MDG-a_16_n500_m50.txt,GRASP+TS,4.431389,7677.33
MDG-a_16_n500_m50.txt,GRASP+TS,4.49953,7678.69
MDG-a_16_n500_m50.txt,GRASP+TS,9.3591,7683.51
MDG-a_16_n500_m50.txt,GRASP+TS,9.428304,7685.61
MDG-a_16_n500_m50.txt,GRASP+TS,9.497639,7686.23
MDG-a_16_n500_m50.txt,GRASP+TS,9.566109,7689.32
MDG-a_16_n500_m50.txt,GRASP+TS,9.634589,7689.37
MDG-a_16_n500_m50.txt,GRASP+TS,9.7034,7695.45
MDG-a_16_n500_m50.txt,GRASP+TS,10.784281,7696.69
MDG-a_16_n500_m50.txt,GRASP+TS,10.852996,7700.67
MDG-a_16_n500_m50.txt,GRASP+TS,10.921423,7702.07
MDG-a_16_n500_m50.txt,GRASP+TS,10.990199,7705.14
MDG-a_16_n500_m50.txt,GRASP+TS,15.796216,7705.92
MDG-a_16_n500_m50.txt,GRASP+TS,15.864473,7719.3
MDG-a_16_n500_m50.txt,GRASP+TS,15.932686,7724.71
MDG-a_16_n500_m50.txt,GRASP+TS,16.092375,7726.09
MDG-a_16_n500_m50.txt,GRASP+TS,16.160633,7728.94
MDG-a_16_n500_m50.txt,GRASP+TS,16.229048,7729.94
MDG-a_16_n500_m50.txt,GRASP+TS,16.297456,7732.39
MDG-a_16_n500_m50.txt,GRASP+TS,16.36577,7737.0
MDG-a_16_n500_m50.txt,GRASP+TS,18.807833,7741.01
MDG-a_16_n500_m50.txt,GRASP+TS,18.876209,7747.03
MDG-a_16_n500_m50.txt,GRASP+TS,45.729698,7748.34
MDG-a_16_n500_m50.txt,GRASP+TS,52.682929,7751.13
MDG-a_16_n500_m50.txt,GRASP+TS,70.530274,7751.5
MDG-a_16_n500_m50.txt,GRASP+TS,79.56083,7755.76
MDG-a_16_n500_m50.txt,GRASP+TS,79.62956,7757.3
MDG-a_16_n500_m50.txt,GRASP+TS,79.698339,7759.45
MDG-a_16_n500_m50.txt,GRASP+TS,79.766014,7765.49
MDG-a_16_n500_m50.txt,GRASP+TS,102.795685,7773.02
MDG-a_16_n500_m50.txt,GRASP+TS,102.863821,7778.48
MDG-a_16_n500_m50.txt,GRASP+TS,102.932338,7779.89
MDG-a_16_n500_m50.txt,GRASP+TS,103.000243,7782.53
MDG-a_16_n500_m50.txt,GRASP+TS,103.068374,7784.23
MDG-a_16_n500_m50.txt,GRASP+TS,103.13647,7789.24
MDG-a_13_n500_m50.txt,GRASP,0.676652,7582.91
MDG-a_13_n500_m50.txt,GRASP,1.482599,7599.73
MDG-a_13_n500_m50.txt,GRASP,2.331731,7643.53
