iteration_number,current_solution_objective,global_best_objective,was_worsening_move
1,6206.1,6206.1,False
2,6307.19,6307.19,False
3,6390.19,6390.19,False
4,6465.98,6465.98,False
5,6538.45,6538.45,False
6,6602.56,6602.56,False
7,6657.4,6657.4,False
8,6709.74,6709.74,False
9,6766.57,6766.57,False
10,6820.18,6820.18,False
11,6869.98,6869.98,False
12,6920.46,6920.46,False
13,6970.99,6970.99,False
14,7015.59,7015.59,False
15,7056.73,7056.73,False
16,7101.4,7101.4,False
17,7141.7,7141.7,False
18,7177.29,7177.29,False
19,7212.19,7212.19,False
20,7242.67,7242.67,False
21,7268.23,7268.23,False
22,7291.67,7291.67,False
23,7322.95,7322.95,False
24,7351.89,7351.89,False
25,7375.62,7375.62,False
26,7398.96,7398.96,False
27,7419.61,7419.61,False
28,7441.97,7441.97,False
29,7461.79,7461.79,False
30,7471.45,7471.45,False
31,7478.91,7478.91,False
32,7491.36,7491.36,False
33,7507.17,7507.17,False
34,7515.83,7515.83,False
35,7525.33,7525.33,False
36,7537.32,7537.32,False
37,7546.57,7546.57,False
38,7547.75,7547.75,False
39,7545.75,7547.75,True
40,7550.86,7550.86,False
41,7552.67,7552.67,False
42,7559.7,7559.7,False
43,7562.08,7562.08,False
44,7564.39,7564.39,False
45,7568.77,7568.77,False
46,7573.89,7573.89,False
47,7579.46,7579.46,False
48,7581.97,7581.97,False
49,7584.39,7584.39,False
50,7589.13,7589.13,False
51,7597.04,7597.04,False
52,7606.98,7606.98,False
53,7618.11,7618.11,False
54,7625.18,7625.18,False
55,7628.27,7628.27,False
56,7634.78,7634.78,False
57,7639.76,7639.76,False
58,7645.24,7645.24,False
59,7653.57,7653.57,False
60,7656.46,7656.46,False
61,7659.96,7659.96,False
62,7665.38,7665.38,False
63,7669.61,7669.61,False
64,7673.29,7673.29,False
65,7677.85,7677.85,False
66,7680.95,7680.95,False
67,7685.15,7685.15,False
68,7692.46,7692.46,False
69,7704.58,7704.58,False
70,7712.65,7712.65,False
71,7721.42,7721.42,False
72,7731.08,7731.08,False
73,7736.25,7736.25,False
74,7736.86,7736.86,False
75,7738.97,7738.97,False
76,7740.13,7740.13,False
77,7744.56,7744.56,False
78,7742.73,7744.56,True
79,7742.45,7744.56,True
80,7737.16,7744.56,True
81,7734.92,7744.56,True
82,7739.89,7744.56,False
83,7732.43,7744.56,True
84,7737.87,7744.56,False
85,7732.01,7744.56,True
86,7731.5,7744.56,True
87,7730.68,7744.56,True
88,7742.11,7744.56,False
89,7739.92,7744.56,True
90,7744.56,7744.56,False
91,7742.73,7744.56,True
92,7738.48,7744.56,True
93,7737.99,7744.56,True
94,7741.66,7744.56,False
95,7735.4,7744.56,True
96,7737.81,7744.56,False
97,7733.72,7744.56,True
98,7733.61,7744.56,True
99,7733.03,7744.56,True
100,7735.81,7744.56,False
101,7739.82,7744.56,False
102,7740.74,7744.56,False
103,7742.31,7744.56,False
104,7740.96,7744.56,True
105,7740.59,7744.56,True
106,7739.34,7744.56,True
107,7736.0,7744.56,True
108,7730.43,7744.56,True
109,7730.68,7744.56,False
110,7733.97,7744.56,False
