group,instance,alpha,avg_of,best_of,worst_of,std_of,avg_time_s,avg_dev_pct
small,MDG-a_1_100_m10.txt,0.1,360.15,360.15,360.15,0.0,10.001,0.0
small,MDG-a_4_100_m10.txt,0.1,355.72,355.72,355.72,0.0,10.001,0.0
small,MDG-a_10_100_m10.txt,0.1,355.5,355.5,355.5,0.0,10.002,0.0
small,MDG-a_12_100_m10.txt,0.1,354.25,354.25,354.25,0.0,10.001,0.0
small,MDG-a_14_100_m10.txt,0.1,356.06,356.06,356.06,0.0,10.001,0.0
small,MDG-a_1_100_m10.txt,0.25,360.15,360.15,360.15,0.0,10.002,0.0
small,MDG-a_4_100_m10.txt,0.25,355.72,355.72,355.72,0.0,10.002,0.0
small,MDG-a_10_100_m10.txt,0.25,355.5,355.5,355.5,0.0,10.001,0.0
small,MDG-a_12_100_m10.txt,0.25,354.25,354.25,354.25,0.0,10.002,0.0
small,MDG-a_14_100_m10.txt,0.25,356.06,356.06,356.06,0.0,10.002,0.0
small,MDG-a_1_100_m10.txt,0.5,360.15,360.15,360.15,0.0,10.001,0.0
small,MDG-a_4_100_m10.txt,0.5,355.72,355.72,355.72,0.0,10.002,0.0
small,MDG-a_10_100_m10.txt,0.5,355.5,355.5,355.5,0.0,10.003,0.0
small,MDG-a_12_100_m10.txt,0.5,354.25,354.25,354.25,0.0,10.003,0.0
small,MDG-a_14_100_m10.txt,0.5,356.06,356.06,356.06,0.0,10.003,0.0
small,MDG-a_1_100_m10.txt,0.75,360.15,360.15,360.15,0.0,10.003,0.0
small,MDG-a_4_100_m10.txt,0.75,355.72,355.72,355.72,0.0,10.002,0.0
small,MDG-a_10_100_m10.txt,0.75,355.5,355.5,355.5,0.0,10.002,0.0
small,MDG-a_12_100_m10.txt,0.75,354.25,354.25,354.25,0.0,10.002,0.0
small,MDG-a_14_100_m10.txt,0.75,356.06,356.06,356.06,0.0,10.001,0.0
small,MDG-a_1_100_m10.txt,0.9,360.15,360.15,360.15,0.0,10.002,0.0
small,MDG-a_4_100_m10.txt,0.9,355.72,355.72,355.72,0.0,10.002,0.0
small,MDG-a_10_100_m10.txt,0.9,355.5,355.5,355.5,0.0,10.002,0.0
small,MDG-a_12_100_m10.txt,0.9,354.25,354.25,354.25,0.0,10.002,0.0
small,MDG-a_14_100_m10.txt,0.9,356.06,356.06,356.06,0.0,10.004,0.0
small,MDG-a_1_100_m10.txt,-1,360.15,360.15,360.15,0.0,10.001,0.0
small,MDG-a_4_100_m10.txt,-1,355.72,355.72,355.72,0.0,10.003,0.0
small,MDG-a_10_100_m10.txt,-1,355.5,355.5,355.5,0.0,10.002,0.0
small,MDG-a_12_100_m10.txt,-1,354.25,354.25,354.25,0.0,10.002,0.0
small,MDG-a_14_100_m10.txt,-1,356.06,356.06,356.06,0.0,10.002,0.0
large,MDG-a_2_n500_m50.txt,0.1,7704.47,7720.38,7693.79,14.0453,10.814,0.2142
large,MDG-a_5_n500_m50.txt,0.1,7655.99,7668.68,7643.29,12.695,10.296,0.2142
large,MDG-a_6_n500_m50.txt,0.1,7717.68,7752.31,7683.27,34.5205,10.531,0.2142
large,MDG-a_9_n500_m50.txt,0.1,7679.11,7706.34,7651.97,27.1851,10.231,0.2142
large,MDG-a_13_n500_m50.txt,0.1,7731.37,7739.85,7715.05,14.1399,10.421,0.2142
large,MDG-a_2_n500_m50.txt,0.25,7691.04,7706.87,7671.19,18.1765,10.279,0.2886
large,MDG-a_5_n500_m50.txt,0.25,7657.05,7681.31,7635.6,22.9836,10.318,0.2886
large,MDG-a_6_n500_m50.txt,0.25,7673.98,7687.29,7653.34,18.1231,11.079,0.2886
large,MDG-a_9_n500_m50.txt,0.25,7723.23,7732.64,7714.41,9.1296,10.549,0.2886
large,MDG-a_13_n500_m50.txt,0.25,7714.66,7752.67,7693.4,32.9948,10.662,0.2886
large,MDG-a_2_n500_m50.txt,0.5,7678.87,7742.57,7635.4,56.3745,10.753,0.5834
large,MDG-a_5_n500_m50.txt,0.5,7638.03,7644.91,7633.6,6.042,10.226,0.5834
large,MDG-a_6_n500_m50.txt,0.5,7650.69,7677.03,7629.08,24.3224,11.318,0.5834
large,MDG-a_9_n500_m50.txt,0.5,7665.39,7706.05,7635.3,36.5416,10.63,0.5834
large,MDG-a_13_n500_m50.txt,0.5,7713.26,7727.9,7701.78,13.3425,11.139,0.5834
large,MDG-a_2_n500_m50.txt,0.75,7626.04,7651.71,7609.5,22.5355,10.835,0.7064
large,MDG-a_5_n500_m50.txt,0.75,7644.7,7645.54,7643.21,1.2964,11.29,0.7064
large,MDG-a_6_n500_m50.txt,0.75,7648.92,7689.14,7618.73,36.2608,11.48,0.7064
large,MDG-a_9_n500_m50.txt,0.75,7675.05,7712.31,7643.43,34.7846,10.627,0.7064
large,MDG-a_13_n500_m50.txt,0.75,7704.13,7727.06,7667.14,32.3377,11.393,0.7064
