group,phase,instance,alpha,tenure,run,seed,of,elapsed_s
small,alpha_sweep,MDG-a_1_100_m10.txt,0.1,15,0,42,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.1,15,1,43,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.1,15,2,44,360.15,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,0.1,15,0,42,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.1,15,1,43,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.1,15,2,44,355.72,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.1,15,0,42,355.5,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.1,15,1,43,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.1,15,2,44,355.5,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.1,15,0,42,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.1,15,1,43,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.1,15,2,44,354.25,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.1,15,0,42,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.1,15,1,43,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.1,15,2,44,356.06,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.25,15,0,42,360.15,10.001
small,alpha_sweep,MDG-a_1_100_m10.txt,0.25,15,1,43,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.25,15,2,44,360.15,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.25,15,0,42,355.72,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,0.25,15,1,43,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.25,15,2,44,355.72,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.25,15,0,42,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.25,15,1,43,355.5,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.25,15,2,44,355.5,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.25,15,0,42,354.25,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.25,15,1,43,354.25,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.25,15,2,44,354.25,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.25,15,0,42,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.25,15,1,43,356.06,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.25,15,2,44,356.06,10.001
small,alpha_sweep,MDG-a_1_100_m10.txt,0.5,15,0,42,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.5,15,1,43,360.15,10.001
small,alpha_sweep,MDG-a_1_100_m10.txt,0.5,15,2,44,360.15,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.5,15,0,42,355.72,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,0.5,15,1,43,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.5,15,2,44,355.72,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.5,15,0,42,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.5,15,1,43,355.5,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.5,15,2,44,355.5,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.5,15,0,42,354.25,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.5,15,1,43,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.5,15,2,44,354.25,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.5,15,0,42,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.5,15,1,43,356.06,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.5,15,2,44,356.06,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.75,15,0,42,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.75,15,1,43,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.75,15,2,44,360.15,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.75,15,0,42,355.72,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,0.75,15,1,43,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.75,15,2,44,355.72,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.75,15,0,42,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.75,15,1,43,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.75,15,2,44,355.5,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.75,15,0,42,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.75,15,1,43,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.75,15,2,44,354.25,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.75,15,0,42,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.75,15,1,43,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.75,15,2,44,356.06,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.9,15,0,42,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.9,15,1,43,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.9,15,2,44,360.15,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,0.9,15,0,42,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.9,15,1,43,355.72,10.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.9,15,2,44,355.72,10.001
small,alpha_sweep,MDG-a_10_100_m10.txt,0.9,15,0,42,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.9,15,1,43,355.5,10.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.9,15,2,44,355.5,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.9,15,0,42,354.25,10.001
small,alpha_sweep,MDG-a_12_100_m10.txt,0.9,15,1,43,354.25,10.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.9,15,2,44,354.25,10.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.9,15,0,42,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.9,15,1,43,356.06,10.001
small,alpha_sweep,MDG-a_14_100_m10.txt,0.9,15,2,44,356.06,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,-1,15,0,42,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,-1,15,1,43,360.15,10.0
small,alpha_sweep,MDG-a_1_100_m10.txt,-1,15,2,44,357.44,10.001
small,alpha_sweep,MDG-a_4_100_m10.txt,-1,15,0,42,355.72,10.0
