group,phase,alpha,tenure,avg_dev_pct,mean_avg_of,mean_time_s
small,alpha_sweep,0.25,15,0.0,356.34,10.0
small,alpha_sweep,0.5,15,0.0,356.34,10.0
small,alpha_sweep,0.75,15,0.0,356.34,10.0
small,alpha_sweep,0.9,15,0.0,356.34,10.0
small,alpha_sweep,0.1,15,0.0,356.34,10.001
small,alpha_sweep,-1,15,0.0957,355.99,10.001
small,tenure_sweep,0.25,15,0.0,356.34,10.0
small,tenure_sweep,0.25,30,0.0,356.34,10.0
small,tenure_sweep,0.25,10,0.0,356.34,10.001
small,tenure_sweep,0.25,20,0.0,356.34,10.001
small,tenure_sweep,0.25,25,0.0652,356.1,10.001
small,tenure_sweep,0.25,5,0.2706,355.37,10.001
large,alpha_sweep,0.9,15,0.1094,7700.98,10.028
large,alpha_sweep,0.75,15,0.2635,7689.05,10.029
large,alpha_sweep,0.25,15,0.3319,7683.78,10.032
large,alpha_sweep,-1,15,0.3714,7680.75,10.031
large,alpha_sweep,0.1,15,0.4696,7673.12,10.029
large,alpha_sweep,0.5,15,0.5106,7670.05,10.03
large,tenure_sweep,0.9,10,0.0906,7705.39,10.026
large,tenure_sweep,0.9,15,0.1475,7700.98,10.031
large,tenure_sweep,0.9,20,0.1804,7698.44,10.028
large,tenure_sweep,0.9,30,0.2803,7690.76,10.031
large,tenure_sweep,0.9,25,0.2875,7690.2,10.036
large,tenure_sweep,0.9,5,0.3623,7684.35,10.029
