instance,group,best_known,grasp_alpha,ts_alpha,ts_tenure,grasp_avg_of,grasp_best,grasp_worst,grasp_std,grasp_dev_pct,grasp_nbest,grasp_avg_time,ts_avg_of,ts_best,ts_worst,ts_std,ts_dev_pct,ts_nbest,ts_avg_time
MDG-a_1_100_m10.txt,small,360.15,0.1,0.1,5,360.15,360.15,360.15,0.0,0.0,5,30.001,360.15,360.15,360.15,0.0,0.0,5,30.0
MDG-a_4_100_m10.txt,small,355.72,0.1,0.1,5,355.72,355.72,355.72,0.0,0.0,5,30.001,355.72,355.72,355.72,0.0,0.0,5,30.0
MDG-a_10_100_m10.txt,small,355.5,0.1,0.1,5,355.5,355.5,355.5,0.0,0.0,5,30.002,355.5,355.5,355.5,0.0,0.0,5,30.0
MDG-a_12_100_m10.txt,small,354.25,0.1,0.1,5,354.25,354.25,354.25,0.0,0.0,5,30.001,354.25,354.25,354.25,0.0,0.0,5,30.0
MDG-a_14_100_m10.txt,small,356.06,0.1,0.1,5,356.06,356.06,356.06,0.0,0.0,5,30.001,356.06,356.06,356.06,0.0,0.0,5,30.001
MDG-a_20_100_m10.txt,small,349.31,0.1,0.1,5,349.31,349.31,349.31,0.0,0.0,5,30.002,349.31,349.31,349.31,0.0,0.0,5,30.0
MDG-a_2_n500_m50.txt,large,7765.76,0.1,0.1,15,7695.5,7722.22,7668.9,22.6724,0.9047,0,30.496,7744.08,7765.76,7721.86,19.4917,0.2792,1,30.04
MDG-a_5_n500_m50.txt,large,7755.23,0.1,0.1,15,7697.35,7746.0,7671.91,29.1648,0.7463,0,30.347,7733.82,7755.23,7715.9,19.9709,0.2761,2,30.025
MDG-a_6_n500_m50.txt,large,7764.35,0.1,0.1,15,7712.16,7752.31,7681.87,26.7853,0.6722,0,30.347,7749.19,7764.35,7716.79,18.7151,0.1953,1,30.022
MDG-a_9_n500_m50.txt,large,7770.07,0.1,0.1,15,7730.84,7749.4,7716.37,11.9328,0.5049,0,30.239,7752.98,7770.07,7740.46,13.1005,0.2199,1,30.017
MDG-a_13_n500_m50.txt,large,7777.02,0.1,0.1,15,7737.72,7748.34,7724.21,8.6987,0.5053,0,30.31,7757.39,7777.02,7727.38,20.1059,0.2524,1,30.023
MDG-a_16_n500_m50.txt,large,7792.77,0.1,0.1,15,7739.38,7757.5,7713.12,18.2951,0.6851,0,30.177,7770.24,7792.77,7741.64,19.9552,0.2891,1,30.017
MDG-a_17_n500_m50.txt,large,7785.98,0.1,0.1,15,7723.03,7756.16,7692.77,29.4929,0.8085,0,30.644,7746.52,7785.98,7701.57,35.7045,0.5068,1,30.027
MDG-a_19_n500_m50.txt,large,7750.58,0.1,0.1,15,7702.49,7729.01,7675.0,20.255,0.6205,0,30.554,7708.4,7750.58,7687.64,25.4743,0.5442,1,30.032
MDG-a_20_n500_m50.txt,large,7723.31,0.1,0.1,15,7688.01,7718.59,7672.84,17.801,0.4571,0,30.424,7712.99,7723.31,7697.02,12.1502,0.1336,1,30.039
